"RVY CSR","Width","Address","Alias","Mode","Permissions","Reset Value","Action on XLEN write","Action on YLEN write","Code Pointer","Data Pointer","Unseal On Execution","Prerequisites","Description","initial_ratification","","","","","","","","","","","","","","","","","","","",""
"vsepc_y","YLEN","0x241","vsepc","VS","HRW, <<asr_perm>>","Nominally <<root-rx-cap>>","Apply <<section_invalid_addr_conv>>.
Always update the CSR with <<SCADDR>> even if the address didn't change.","Apply <<section_invalid_addr_conv>> and update the CSR with the result if the address changed,
direct write if address didn't change","✔","","✔","H","Virtual Supervisor Exception Program Counter Capability","post-v1","","","","","","","","","","","","","","","","","","","",""
"jvt_y","YLEN","0x017","jvt","U","URW","tag=0, otherwise specified by the platform","Apply <<section_invalid_addr_conv>>.
Always update the CSR with <<SCADDR>> even if the address didn't change.","Apply <<section_invalid_addr_conv>> and update the CSR with the result if the address changed,
direct write if address didn't change","✔","","","Zcmt","Jump Vector Table Capability","post-v1","","","","","","","","","","","","","","","","","","","",""
"dddc","YLEN","0x7bc","","D","DRW","tag=0, otherwise specified by the platform","Apply <<section_invalid_addr_conv>>.
Always update the CSR with <<SCADDR>> even if the address didn't change.","Apply <<section_invalid_addr_conv>> and update the CSR with the result if the address changed,
direct write if address didn't change","","✔","","{cheri_default_ext_name}, Sdext","Debug Default Data Capability (saved/restored on debug mode entry/exit)","v1","","","","","","","","","","","","","","","","","","","",""
"ddc","YLEN","0x416","","U","URW","nominally <<root-rw-cap>>","Apply <<section_invalid_addr_conv>>.
Always update the CSR with <<SCADDR>> even if the address didn't change.","Apply <<section_invalid_addr_conv>> and update the CSR with the result if the address changed,
direct write if address didn't change","","✔","","{cheri_default_ext_name}","User Default Data Capability","v1","","","","","","","","","","","","","","","","","","","",""
"drootcsel","DXLEN","0x7ba","","D","DRW","0","Ignore","Ignore","","","","Sdext","Multiplexing selector for <<drootc>>","v1","","","","","","","","","","","","","","","","","","","",""
"drootc","YLEN","0x7bd","","D","DRW","nominally <<root-rx-cap>>","Ignore","Ignore","","","","Sdext","Source of authority in debug mode, writes are ignored","v1","","","","","","","","","","","","","","","","","","","",""
"mtidc","YLEN","0x780","","M","Read: M, Write: M, <<asr_perm>>","tag=0, otherwise specified by the platform","Update the CSR using <<SCADDR>>.","direct write","","","","{cheri_base_ext_name}","Machine thread ID","v1","","","","","","","","","","","","","","","","","","","",""
"vstidc","YLEN","0xA80","","H","Read: VS, Write: VS, <<asr_perm>>","tag=0, otherwise specified by the platform","Update the CSR using <<SCADDR>>.","direct write","","","","{cheri_base_ext_name}","Virtual supervisor thread ID","post-v1","","","","","","","","","","","","","","","","","","","",""
"stidc","YLEN","0x580","","S","Read: S, Write: S, <<asr_perm>>","tag=0, otherwise specified by the platform","Update the CSR using <<SCADDR>>.","direct write","","","","{cheri_base_ext_name}","Supervisor thread ID","v1","","","","","","","","","","","","","","","","","","","",""
"utidc","YLEN","0x480","","U","Read: U, Write: U, <<asr_perm>>","tag=0, otherwise specified by the platform","Update the CSR using <<SCADDR>>.","direct write","","","","{cheri_base_ext_name}","User thread ID","v1","","","","","","","","","","","","","","","","","","","",""
